titles,released,developers,publishers,id,summary,storyline,genres
Madagascar,2005,Toys for Bob,Activision,3764,"Be a part of Dreamwork's animated adventure by guiding Marty the Zebra, Alex the lion, Melman the giraffe, Gloria the hippo and those stealthy Penguins as they escape the Central Park Zoo into the streets of New York and then into the wild jungle...err San Diego zoo.  The storyline is exactly the same as the movie itself and each chapter will bring you further in the story. Every chapter will have various goals set. Only one specific goal per chapter is required to complete the chapter so you can always replay the chapter later to try to complete all the goals.  Every stage will also require you to play as a different character and some will involve all characters.  Each character have their own unique abilities: Marty can kick with his hind legs, sneak around his enemies slide and perform long-jumps. Alex the lion can throw fruits, use his claws and roar at his enemies. Gloria can tumble, butt bounce and hip check her enemies. And when she eats some chili peppers, she will be able to charge into her enemies. Melman can spin into, throw items at and head bash his enemies. He can also perform the Helicopter move which enables him to glide long distances. Finally the Penguin can slide, fish and attack with a Finishing move (something like a karate chop) to defeat their enemies.  Throughout the game there will be various items to collect including Life Tikis to replenish your Health Meter and Monkey Money that will enable you to buy special things at the Zoovenir Shop like mini games and special outfits for the Madagascar cast.",,"[8, 31]"
Madden NFL '96,1995,EA Tiburon,EA Sports,4542,"Madden NFL 96 is one of the earlier games in the long lasting franchise. It is the first to include a create-a-player feature that had the player preform mini games similar to real NFL drills. With 28 NFL teams and many more secret historic teams, Real NFL players, and the iconic NFL on Fox music theme, Madden 96 offered an authentic experience for fans of the sport.",,"[13, 14]"
Madden NFL 97,1996,EA Tiburon,EA Sports,4589,"Welcome to Madden NFL 97, the game that captures the excitement of a 30 yard touchdown pass, the strategy of a well executed scoring drive, and the atmosphere of a crisp autumn afternoon in the stadium. Madden NFL 97 delivers state of the art graphics and sound -- and with modem and network support, it's ready to put your competitive skills to the test.",,[14]
Madden NFL 98,1997,EA Tiburon,EA Sports,4590,"Playcalling expert John Madden again licenses Electronic Arts' flagship football simulation. New features for 1998 include more advanced Quarterback functions such as the ability to play lob passes and adjust timing patterns, and more instinctive AI features to adjust as the match goes on. Squad features have also been advanced, with the opportunity to create plays and trade them.  Gameplay is much the same as the other editions, with the full season on offer as well as playoffs and the Superbowl. Everything is presented TV-style, with play-by-play analysis and reports. The contemporary NFL teams are joined by great squads of the past.",,[14]
Madden NFL 99,1998,EA Tiburon,EA Sports,779,"This is all-Madden football! Legendary gameplay. One-button simplicity. The ultimate NFL experience. New super hi-res polygon graphics. Monster hits - feel and hear the impact! 250 new motion captured NFL moves. New Arcade Mode - huge hits, more fun! Over 120 past and present NFL teams. Draft, trade, create, sign, and release players.",,"[13, 14]"
Madden NFL 2000,1999,EA Tiburon,EA Sports,3537,Madden NFL 2000 is a football video game. The Green Bay Packers had the best team overall in the game with a score of 94. The worst team in the game was the Cleveland Browns with a score of 68. The best offense in the game belongs to the Denver Broncos with a score of 97. The best defense in the game belongs to the Miami Dolphins with a score of 96. The best special teams in the game belongs to both the Buffalo Bills and Atlanta Falcons with a score of 97.,,"[13, 14]"
Madden NFL 2001,2000,EA Tiburon,EA Sports,3538,"Madden NFL 2001 includes several customizable modes. Players have the ability to create a play, create a player, run a franchise, and collect Madden Cards, allowing players to perform certain actions during gameplay (for example, adding 5th downs, or limiting the CPU-controlled team to 3rd downs). The cards can also alter individual player ratings, unlock special stadiums, and unlock Hall of Fame and All-Madden teams.",,"[13, 14]"
Madden NFL 2002,2001,"EA Tiburon, Budcat Creations",EA Sports,3539,"#1 for a reason! Return to glory: Relive the golden days of 16-bit Madden gameplay in Madden Classic mode. Kick off the season with the newest NFL team: Take the field with all 32 NFL teams including the expansion Houston Texans. A game within a game: Run or defend an improved 2-Minute Drill, now featuring Head-To-Head Challenge. Bang-Boom-Pow: Perfect the X's and O's with the help of John Madden in Training mode.",,[14]
Madden NFL 2003,2002,EA Tiburon,EA Sports,776,"Madden NFL 2003 is an American football video game. It features then-reigning 3 time NFL Offensive Player of the Year, and former St. Louis Rams running back Marshall Faulk on the cover. This edition of Madden was the first to feature EA Trax.",,"[13, 14]"
Madden NFL 2004,2003,EA Tiburon,EA Sports,777,"The 2004 edition of Madden NFL Football includes several changes from the previous year. Madden 2004 on the Game Boy Advance features a complete list of NFL players and teams with statistics tracking. Multiple play modes include regular season, playoffs, and exhibition play.Create-a-player mode allows for the creation of a custom NFL player, which can be traded during a season. Newest addition to Madden NFL 2004 on the GBA is the option to connect to the Nintendo GameCube, which unlocks various game additions in the GameCube version of Madden 2004. Link play allows two players to go head-to-head.",,"[13, 14]"
Madden NFL 2005,2004,EA Tiburon,EA Sports,778,"Force the action on defense in MADDEN NFL 2005. New defensive tools allow you to make more plays and be in on all of the action. The all-new Hit Stick lets you lay the big hit to turn the momentum of the game in your favor. With the new Storyline Central, you get the inside scoop around the league from radio host Tony Bruno, along with local and national newspapers, to help you make critical franchise decisions. With groundbreaking graphics that capture the real stadium experience, Madden NFL 2005 continues its 15-year tradition of video game innovation.",,"[13, 14]"
Madden NFL 06,2005,EA Tiburon,EA Sports,5906,"Play and manage football matches between real NFL teams, featuring the latest player lineups of 2006!",,"[13, 14]"
Madden NFL 07,2006,"EA Tiburon, EA Canada",EA Sports,4983,"Madden NFL 07 is the seventeenth installment of the Madden NFL series. This version introduces some new tricks, updates some features, and brings depth to some game modes from previous Madden titles.The 07 game focuses on the Running Back by giving you lead blocker controls. After selecting a running play, you can cycle through offensive players to open up gaps. New evasive maneuvers are controlled with a separate stick to elude defenders, along with new juking and spinning maneuvers.Start a career with your favorite NFL team, draft the players, call the plays, and lead your team to a dynasty. Or, make your own player and guide him on and off the field through his entire career starting with the draft. If you do not want to mess with all the options and features you can simply sit down for a quick game.",,"[13, 14]"
