titles,released,developers,publishers
Power Volleyball,26-01-2007,Phoenix Games,Phoenix Games
The Powerpuff Girls: Relish Rampage,24-11-2002,VIS Entertainment,BAM! Entertainment
Powershot Pinball,07-07-2006,Liquid Games,OG International Ltd
Predator: Concrete Jungle,15-04-2005,Eurocom,Vivendi Universal Games
Premier Manager 03/04,19-12-2003,Zoo Digital Publishing,Zoo Digital Publishing
Premier Manager 08,17-08-2007,Zoo Digital Publishing,Zoo Digital Publishing
Premier Manager 09,15-08-2008,Zoo Digital Publishing,Zoo Digital Publishing
Premier Manager 2002/2003 Season,19-12-2003,Zoo Digital Publishing,Zoo Digital Publishing
Premier Manager 2004-2005,05-11-2004,Zoo Digital Publishing,Zoo Digital Publishing
Premier Manager 2005-2006,11-08-2005,Zoo Digital Publishing,Zoo Digital Publishing
Premier Manager 2006-2007,18-08-2006,Zoo Digital Publishing,Zoo Digital Publishing
Pri-Saga! Princess o Sagase!,22-11-2007,Abel Software,Views
Pride FC: Fighting Championships•PrideJP,11-02-2003,Anchor Inc.,"THQEU,NA, CapcomJP"
PrideGP Grand Prix 2003,13-11-2003,Capcom,Capcom
Primal•Saints: Seinaru MamonoJP,25-03-2003,SCE Studio Cambridge,Sony Computer Entertainment
Primopuel,27-11-2003,Bandai,Bandai
Prince of Persia: The Sands of Time•Prince of Persia: Jikan no SunaJP,10-11-2003,Ubisoft,Ubisoft
Prince of Persia: The Two Thrones•Prince of Persia: Futatsu no TamashiiJP,01-12-2005,Ubisoft Montreal,Ubisoft
Prince of Persia: Warrior Within•Prince of Persia: Kenshi no KokoroJP,30-11-2004,Ubisoft Montreal,Ubisoft
Prince of Tennis: Form the Strongest Team!•Tennis no Oji-Sama: Saikyou Team o Kessei Seyo!JP,16-09-2004,Konami,Konami
Princess Concerto,20-09-2007,Headlock,Broccoli
Princess Holiday: Korogaru Ringotei Senya Ichiya,27-05-2004,August,Alchemist
Princess Lover! Eternal Love for My Lady,28-01-2010,Comfort,Comfort
Princess Maker,28-04-2004,CyberFront,Gainax
Princess Maker 2,30-09-2004,CyberFront,Gainax
Princess Maker 4,01-09-2005,GeneX,Gainax
Princess Maker 5,07-02-2008,Gainax,CyberFront
Princess Nightmare,24-04-2008,Karin Entertainment,Karin Entertainment
Princess Princess,26-10-2006,Marvelous Entertainment,Marvelous Entertainment
Prism Ark: Awake,24-04-2008,5pb,5pb
Prisoner of War,19-07-2002,Wide Games,Codemasters
Private Nurse: Maria,25-09-2003,Angel Smile,Datam Polystar
Pro Beach Soccer,29-08-2003,Pam Development,Wanadoo Edition
Pro Biker 2,07--2007,Phoenix Games,Phoenix Games
Pro Bull Riders: Out of the Chute,28-10-2008,D2C Games,Crave Entertainment
Pro Evolution Soccer•World Soccer Winning Eleven 5JP,15-03-2001,Konami,Konami
Pro Evolution Soccer 2008•World Soccer Winning Eleven 2008JP,26-10-2007,Konami,Konami
Pro Evolution Soccer 2009•World Soccer Winning Eleven 2009JP,31-10-2008,Konami,Konami
Pro Evolution Soccer 2010•World Soccer Winning Eleven 2010JP,06-11-2009,Konami,Konami
"Pro Evolution Soccer 2011•World Soccer Winning Eleven 2011AS,JP",29-10-2010,Konami,Konami
"Pro Evolution Soccer 2012•World Soccer Winning Eleven 2012JP,KO",28-10-2011,Konami,Konami
Pro Evolution Soccer 2013,25-09-2012,Konami,Konami
Pro Evolution Soccer 2014,08-11-2013,Konami,Konami
Pro Evolution Soccer Management,24-03-2006,Konami,Konami
Pro Mahjong Kiwame Next,31-08-2000,Athena,Athena
Pro Race Driver•DTM Race DriverFR•TOCA Race DriverUK•V8 Supercar: Race DriverAU,23-08-2002,Codemasters,Codemasters
Pro Rally 2002,28-03-2002,Ubisoft Barcelona,Ubisoft
Pro Yakyū Japan 2001,08-11-2001,Konami,Konami
Pro Yakyū Netsu Star 2006,06-04-2006,Namco,Namco
Pro Yakyū Netsu Star 2007,05-04-2007,Bandai Namco Games,Bandai Namco Games
Pro Yakyū Simulation Dugout '03: The Turning Point,26-06-2003,DigiCube,DigiCube
Pro Yakyū Spirits 2,07-04-2005,Konami,Konami
Pro Yakyū Spirits 2004,25-03-2004,Konami,Konami
Pro Yakyū Spirits 2004 Climax,16-09-2004,Konami,Konami
Pro Yakyū Spirits 2010,01-04-2010,Konami,Konami
Pro Yakyū Spirits 3,06-04-2006,Konami,Konami
Pro Yakyū Spirits 4,01-04-2007,Konami,Konami
Pro Yakyū Spirits 5,01-04-2008,Konami,Konami
Pro Yakyū Spirits 5 Kanzenban,04-12-2008,Konami,Konami
Pro Yakyū Spirits 6,16-07-2009,Konami,Konami
Pro Yakyū Team o Tsukurou! 2,13-02-2003,Smilebit,Sega
Pro Yakyū Team o Tsukurou! 2003,20-11-2003,Smilebit,Sega
Pro Yakyū Team o Tsukurou! 3,28-07-2005,Smilebit,Sega
The Pro Yakyū: 2003 Pennant Race•Simple 2000 Series Vol. 27: The Pro Yakyū: 2003 Pennant RaceJP,24-04-2003,Smilebit,Sega
Project Arms,28-03-2002,Shade,Bandai
Project Eden,22-10-2001,Core Design Ltd.,Eidos Interactive
Project FIFA World Cup: Sorenara Kimi ga Daihyo Kantoku,30-05-2002,Electronic Arts,Electronic Arts Victor
Project Minerva,22-08-2002,Flat-Out,D3 Publisher
Project Minerva Professional•Simple 2000 Ultimate Series Vol. 23: Project Minerva ProfessionalJP,22-08-2002,Flat-Out,"D3 PublisherJP, Midas Interactive EntertainmentEU"
Project: Snowblind,22-02-2005,Crystal Dynamics,Eidos Interactive
ProStroke Golf: World Tour 2007,18-08-2006,Gusto Games,Oxygen Games
Pryzm Chapter One: The Dark Unicorn,10-06-2002,Digital Illusions,TDK Mediactive
Psi-Ops: The Mindgate Conspiracy•Psi-Ops: Psychic OperationJP,14-06-2004,Midway Games,Midway Games
Psychic Force Complete,29-12-2005,Taito,Taito
Psychonauts,22-06-2005,"Double Fine, Budcat Creations",Majesco Entertainment
Psyvariar 2: Ultimate Final,09-12-2004,Skonec,Success
Psyvariar: Medium Unit,11-09-2003,Skonec,Success
Psyvariar Revision•SuperLite 2000 Shooting: Psyvariar RevisionJP,09-10-2003,Skonec,Success
Pump It Up Exceed,30-11-2004,Andamiro U.S.A. Corp,"Andamiro U.S.A. CorpKO, MastiffNA"
The Punisher,17-01-2005,Volition,THQ
Pure Pure: Mimi to Shippo no Monogatari,27-01-2005,Klein,Datam Polystar
Pure x Cure Recovery,23-08-2007,Alchemist,Alchemist
Puyo Pop Fever•Puyo Puyo FeverJP,04-02-2004,Sonic Team,Sega
Puyo Puyo Fever 2,24-11-2005,Sonic Team,Sega
Puyo Puyo! 15th Anniversary,21-03-2007,Sonic Team,Sega
Puzzle Challenge: Crosswords and More!,09-06-2006,Supersonic Software,Crave Entertainment
"Puzzle Maniacs•Simple 2000 Series Vol. 23: The Puzzle Collection 2,000-MonJP",27-03-2003,HuneX,"D3 PublisherJP, 505 Game StreetEU"
Puzzle Party: 10 Games,28-07-2006,Phoenix Games,Phoenix Games
Puzzle Quest: Challenge of the Warlords,13-11-2007,Infinite Interactive,D3 Publisher
Pyū to Fuku! Jaguar Ashita no Jump,18-03-2004,Konami,Konami
Q-Ball Billiards Master•Doukyu Billiard Master 2JP•Pool MasterEU,30-03-2000,Ornith,"ASKJP, Take-Two InteractiveEU,NA"
Quake III Revolution,26-03-2001,Bullfrog Productions,"Electronic ArtsEU,NA, Square EAJP"
Quartet! The Stage of Love,28-09-2006,PrincessSoft,PrincessSoft
Que: Ancient Leaf no Yousei,28-06-2007,PrincessSoft,PrincessSoft
The Quest for Aladdin's Treasure,07-09-2007,Broadsword Interactive,Oxygen Games
Quest for Sleeping Beauty,17-02-2006,Spiral House,Liquid Games
Quiz & Variety SukuSuku Inufuku 2: Motto SukuSuku,23-08-2007,Hamster Corporation,Hamster Corporation
"The Quiz 20,000 Mon•Simple 2000 Series Vol. 12: The Quiz 20,000 MonJP",07-11-2002,Warashi,D3 Publisher
R-Type Final,19-06-2003,Irem,"IremJP,KO, Eidos InteractiveNA, Metro3DEU"
R: Racing Evolution,27-11-2003,Namco,Namco
RA.ONE The Game,05-10-2011,Trine Games,Sony Computer Entertainment
Raceway: Drag & Stock Racing,29-09-2006,Midas Interactive Entertainment,Midas Interactive Entertainment
Racing Battle: C1 Grand Prix,26-05-2005,Genki,Genki
Radiata Stories,27-01-2005,tri-Ace,Square Enix
Radio Helicopter•Simple 2000 Series Vol. 35: The HelicopterJP,25-09-2003,Tomcat System,"D3 PublisherJP, 505 Game StreetEU"
Radio Helicopter II•Puchi Copter 2JP,14-07-2005,Aqua Systems,"TaitoJP, 505 Game StreetEU"
Radirgy Precious,25-05-2006,MileStone Inc.,MileStone Inc.
Raging Blades•Raging Bless: Gouma MokushirokuJP,06-06-2002,Pacific Century Cyber Works,"Pacific Century Cyber WorksJP, Wanadoo EditionEU"
Rahxephon: Soukyū Gensoukyoku,07-08-2003,Bandai,Bandai
Raiden III,22-09-2005,MOSS,"TaitoJP, 505 Game StreetEU, UFO InteractiveNA"
Raimuiro Senkitan * Jun,25-03-2004,Kadokawa Games,Kadokawa Games
Rakushou! Pachi-Slot Sengen,23-10-2003,Tecmo,Tecmo
Rakushou! Pachi-Slot Sengen 2,28-10-2004,Tecmo,Tecmo
Rakushou! Pachi-Slot Sengen 3,23-06-2005,Tecmo,Tecmo
Rakushou! Pachi-Slot Sengen 4,23-03-2006,Tecmo,Tecmo
Rakushou! Pachi-Slot Sengen 5: Rio Paradise,05-04-2007,Tecmo,Tecmo
Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis,14-05-2009,Tecmo,Tecmo
Rally Championship,31-05-2002,Warthog Games,"SCi GamesEU, SuccessJP"
Rally Fusion: Race of Champions,11-11-2002,Climax Studios,Activision
Rampage: Total Destruction,24-04-2006,Pipeworks Studios,Midway Games
Ramune: Garasu-Bin ni Uturu Umi,25-08-2005,Neko Neko Soft,Interchannel
Rapala Pro Bass Fishing,28-09-2010,FUN Labs,Activision
Rapala Pro Fishing,31-08-2004,Activision,"ActivisionNA, Zoo Digital PublishingEU"
Rasetsu Alternative,13-10-2005,Nippon Ichi Software,Kogado Studio
"Ratchet: Deadlocked•Ratchet & Clank 4th: GiriGiri Ginga no Giga BattleAS,JP•Ratchet: GladiatorPAL",25-10-2005,Insomniac Games,Sony Computer Entertainment
Ratchet & Clank,04-11-2002,Insomniac Games,Sony Computer Entertainment
Ratchet & Clank: Going Commando•Ratchet & Clank 2JP•Ratchet & Clank 2: Locked and LoadedPAL,11-11-2003,Insomniac Games,Sony Computer Entertainment
Ratchet & Clank: Size Matters•Ratchet & Clank 5: Gekitotsu! Dodeka Ginga no Mirimiri GundanJP,11-03-2008,High Impact Games,Sony Computer Entertainment
"Ratchet & Clank: Up Your Arsenal•Ratchet & Clank 3EU•Ratchet & Clank 3 Totsugeki! Galactic RangersJP•Ratchet & Clank 3: Up Your ArsenalAS,AU",03-11-2004,Insomniac Games,Sony Computer Entertainment
Raw Danger!•Zettaizetsumei Toshi 2: Itetsuita KiokutachiJP,30-03-2006,Irem,"IremJP, AgetecEU,NA"
"Rayman 2: Revolution•Rayman RevolutionEU,JP",22-12-2000,Ubisoft,Ubisoft
Rayman 3: Hoodlum Havoc,14-03-2003,Ubisoft,Ubisoft
Rayman Arena•Rayman MEU,30-11-2001,Ubisoft,Ubisoft
Rayman Raving Rabbids,05-12-2006,Ubisoft,Ubisoft
RC Revenge Pro,01-12-2000,Acclaim Studios Cheltenham,Acclaim Entertainment
RC Sports: Copter Challenge•Flying CircusJP,15-11-2001,Syscom,"SyscomJP, Xicat InteractiveEU"
RC Toy Machines,05-11-2004,Mere Mortals,Phoenix Games
Ready 2 Rumble Boxing: Round 2,23-10-2000,Midway Games,Midway Games
Real Madrid: The Game,05-05-2009,Atomic Planet Entertainment,Virgin Play
Real Pool•EX BilliardsJP•International Cue ClubEU,07-09-2000,Astroll,"TakaraJP, InfogramesNA, Midas Interactive EntertainmentEU"
Real Robot Regiment,09-08-2001,Wavedge,Banpresto
Real Rode,04-12-2008,HuneX,Kadokawa Games
Real Sports Pro Yakyū,07-08-2003,Enterbrain,Enterbrain
Real World Golf,26-08-2005,In2Games,"Valcon GamesEU, Mad CatzNA"
Real World Golf 2007,25-08-2006,In2Games,In2Games
Realize: Panorama Luminary,15-09-2005,Visual Arts,Interchannel
Realm of the Dead•Bakuen Kakusei: Neverland Senki ZeroJP,22-07-2004,Neverland,"Idea FactoryJP, Midas Interactive EntertainmentEU"
RealPlay Golf,30-11-2007,In2Games,In2Games
RealPlay Pool,30-11-2007,In2Games,In2Games
RealPlay Puzzlesphere,30-11-2007,In2Games,In2Games
RealPlay Racing,30-11-2007,In2Games,In2Games
Rebel Raiders: Operation Nighthawk,03-03-2006,Kando Games,"NobilisEU, XS GamesNA"
Rebirth Moon,24-11-2005,Idea Factory,Idea Factory
REC * DokiDoki Seiyū Paradise,30-11-2006,Idea Factory,Idea Factory
Red Baron,25-11-2005,Atomic Planet Entertainment,Davilex
Red Dead Revolver,03-05-2004,Rockstar San Diego,"Rockstar GamesNA, Take-Two InteractiveEU, CapcomJP"
Red Faction,22-05-2001,Volition,THQ
Red Faction II,15-10-2002,Volition,THQ
Red Ninja: End of Honor•Red Ninja: End of HonourEU•Red Ninja: Kekka no MaiJP,03-03-2005,Tranji Studios,Vivendi Universal Games
The Red Star,20-04-2007,Acclaim Studios Austin,XS Games
"RedCard 20-03•RedCardEU,JP",16-04-2002,Point of View,Midway Games
Reel Fishing III•Fish Eyes 3JP,26-06-2003,Victor Interactive,"Victor InteractiveJP, UbisoftEU, NatsumeNA"
Reign of Fire,22-10-2002,Kuju Entertainment,BAM! Entertainment
Reijou Tantei: Office Love Jikenbo•Simple 2000 Series Vol. 123: The Office Love Jikenbou – Reijou TanteiJP,22-02-2007,Tomcat System,D3 Publisher
Relaxuma: Ojama Shitemasu 2 Shūkan,01-09-2005,San-X,Interchannel
Remember 11: The Age of Infinity,18-03-2004,KID,KID
Remote Control Dandy SF,14-04-2005,Konami,Konami
The Renai Adventure 2: Jo no Ko no Tameno•Simple 2000 Series Vol. 13: The Renai Adventure 2 – Jo no Ko no TamenoJP,24-10-2002,HuneX,D3 Publisher
The Renai Adventure: Bittersweet Fools•Simple 2000 Series Vol. 9: The Renai Adventure – Bittersweet FoolsJP,12-09-2002,HuneX,D3 Publisher
The Renai Board•Simple 2000 Series Vol. 29: The Renai Board – Seishun 18 RadioJP,29-05-2003,Billiken Soft,D3 Publisher
The Renai Horror Adventure•Simple 2000 Series Vol. 34: The Renai Horror Adventure – Hyouryū ShoujoJP,24-07-2003,Siesta,D3 Publisher
The Renai Simulation: Renai Kissa Watashi ni Oma Cafe•Simple 2000 Series Vol. 19: The Renai Simulation – Renai Kissa Watashi ni Oma CafeJP,19-12-2002,Vingt-et-un Systems,D3 Publisher
Reservoir Dogs,25-08-2006,Volatile Games,Eidos Interactive
Resident Evil 4•Biohazard 4JP,25-10-2005,Capcom,Capcom
Resident Evil Code: Veronica X•Biohazard Code: Veronica KanzenbanJP,22-03-2001,Capcom,Capcom
Resident Evil: Dead Aim•Gun Survivor 4: Biohazard – Heroes Never DieJP,13-02-2003,Cavia,Capcom
Resident Evil Outbreak•Biohazard OutbreakJP,11-12-2003,Capcom,Capcom
Resident Evil Outbreak File #2•Biohazard Outbreak File #2JP,09-09-2004,Capcom,Capcom
Resident Evil Survivor 2 Code: Veronica•Gun Survivor 2: Biohazard – Code: VeronicaJP,08-11-2001,Capcom,Capcom
Retro,06--2006,Aqua Pacific,Phoenix Games
Return to Castle Wolfenstein: Operation Resurrection,30-05-2003,Raster Productions,Activision
Reveal Fantasia,20-03-2002,"Infinity Co., Ltd.",Victor Interactive Software
Rez,22-11-2001,United Game Artists,"SegaJP,NA, Sony Computer EntertainmentEU"
Rhythmic Star!,07-04-2006,Suzak Inc.,Ignition Entertainment
Ribbit King•Kero Kero King Super DXJP,18-12-2003,"Infinity Co., Ltd.","BandaiJP,NA, AtariEU"
Richard Burns Rally,09-07-2004,Warthog Games,SCi
Ridge Racer V,04-03-2000,Namco,"NamcoJP,NA, Sony Computer EntertainmentEU"
Riding Spirits•RS: Riding SpiritsJP,25-07-2002,Spike,"SpikeJP, BAM! EntertainmentEU,NA"
Riding Spirits II,26-02-2004,Spike,"SpikeJP, CapcomEU"
Riding Star•Tim Stockdale's Riding StarEU,29-04-2008,Valcon Games,"SVG DistributionNA, Eidos InteractiveEU"
Rig Racer 2,12-07-2005,Data Design Interactive,Metro3D
Rim Runners,27-01-2005,Fog Inc.,Fog Inc.
Rimo-Cocoron,28-06-2001,Sony Computer Entertainment,Sony Computer Entertainment
Ring of Red,21-09-2000,Konami,Konami
Ripple no Tamago: Apprentice Magician•Simple 2000 Series Vol. 74: The Oujisama to Romance – Ripple no TamagoJP,12-06-2003,HuneX,D3 Publisher
Rise of the Kasai,05-04-2005,BottleRocket Entertainment,Sony Computer Entertainment
Rise to Honor,17-02-2004,Sony Computer Entertainment,Sony Computer Entertainment
Risk: Global Domination,05-11-2003,Cyberlore Studios,Atari
River King: A Wonderful Journey•Harvest FishingEU•Kawa no Nushi Tsuri: Wonderful JourneyJP,27-01-2005,Marvelous Entertainment,"Marvelous EntertainmentJP, 505 Game StreetEU, NatsumeNA"
RLH: Run Like Hell,27-09-2002,Digital Mayhem,"Interplay EntertainmentNA, Avalon InteractiveEU, CapcomJP"
Road Rage 3•Touge 3JP,11-10-2001,Atlus,"AtlusJP, Phoenix GamesEU"
"Road Trip•Road Trip AdventurePAL•Choro Q HG 2JP,KO",10-01-2002,E-Game Inc.,"TakaraJP,KO, Conspiracy EntertainmentNA, Play It!PAL"
RoadKill,13-10-2003,Terminal Reality,Midway Games
Robin Hood: Defender of the Crown,30-09-2003,Cinemaware,Capcom
Robin Hood: The Siege 2,06-10-2006,Mere Mortals,Phoenix Games
Robin Hood's Quest,16-02-2007,Broadsword Interactive,Oxygen Games
RoboCop,03-07-2003,Titus Software,"Titus SoftwareJP, Avalon InteractiveEU"
Robot Alchemic Drive•Gigantic DriveJP,29-08-2002,Sandlot,Enix
The Robot Tsuku Rouze! – Gekitou! Robot Fight•Simple 2000 Series Vol. 104: The Robot Tsuku Rouze! – Gekitou! Robot FightJP,10-08-2006,HuneX,D3 Publisher
Robot Warlords•Velvet FileJP,10-08-2000,Dazz,"DazzJP, Midas Interactive EntertainmentEU"
Robot Wars: Arenas of Destruction,01-11-2002,Climax Studios,Gamezlab
Robotech: Battlecry,25-09-2002,Vicious Cycle Software,TDK Mediactive
Robotech: Invasion,05-10-2004,Vicious Cycle Software,Global Star Software
Robots,24-02-2005,Eurocom,Vivendi Universal Games
Rock Band,18-12-2007,Pi Studios,MTV Games
Rock Band 2,18-12-2008,Pi Studios,"MTV GamesNA, Electronic ArtsEU"
Rock Band Country Track Pack,21-07-2009,Harmonix Music Systems,MTV Games
Rock Band Metal Track Pack,22-09-2009,Harmonix Music Systems,MTV Games
Rock Band Track Pack Volume 1•Rock Band Song Pack 1EU,15-07-2008,Harmonix Music Systems,MTV Games
Rock Band Track Pack Volume 2•Rock Band Song Pack 2EU,17-11-2008,Harmonix Music Systems,MTV Games
Rock Band Track Pack: Classic Rock,19-05-2009,Harmonix Music Systems,MTV Games
Rock N Roll Adventures,20-01-2006,Data Design Interactive,Data Design Interactive
Rock'n Megastage,22-06-2000,Jaleco,Jaleco
Rocket Power: Beach Bandits,20-09-2002,Evolution Games,THQ
Rockman: Power Battle Fighters,05-08-2004,Capcom,Capcom
Rocky,15-11-2002,Rage Software,"Rage SoftwareEU, UbisoftNA, SuccessJP"
Rocky: Legends,28-09-2004,Venom Games,Ubisoft
Rogue Galaxy,08-12-2005,Level-5,Sony Computer Entertainment
Rogue Hearts Dungeon,26-04-2007,Compile Heart,Compile Heart
Rogue Ops,29-10-2003,Bits Studios,Kemco
Rogue Trooper,21-04-2006,Rebellion Developments,Eidos Interactive
Roland Garros 2005: Powered by Smash Court Tennis,18-05-2005,Namco,Sony Computer Entertainment
Roller Coaster Funfare,12-10-2007,Phoenix Games,Phoenix Games
Rollercoaster World•Simple 2000 Series Vol. 33: The Jet Coaster – Yūenchi Otsukurou!JP,24-07-2003,Bimboosoft,"D3 PublisherJP, Midas Interactive EntertainmentEU"
Rolling,24-10-2003,Rage Software,Rage Software
Romance of the Three Kingdoms VII•San Goku Shi VIIJP,31-08-2000,Koei,Koei
Romance of the Three Kingdoms VIII•San Goku Shi VIIIJP•San Goku Shi VIII with Power-Up KitJP,24-01-2002,Koei,Koei
Romance of the Three Kingdoms IX•San Goku Shi IXJP•San Goku Shi IX with Power-Up KitJP,20-12-2003,Koei,Koei
Romance of the Three Kingdoms X•San Goku Shi XJP,10-03-2005,Koei,Koei
Romance of the Three Kingdoms XI•San Goku Shi XIJP•San Goku Shi XI with Power-Up KitJP,28-09-2006,Koei,Koei
Romancing SaGa•Romancing SaGa: Minstrel SongJP,21-04-2005,Square Enix,Square Enix
Room Zoom: Race for Impact,25-03-2005,Blade Interactive,Jaleco
Roommania#203,25-07-2002,Sega,Sega
Roommate Asami: Okusama wa Joshikousei,20-06-2002,Datam Polystar,Datam Polystar
The Roomshare to Iu Seikatsu•Simple 2000 Series Vol. 115: The Roomshare to Iu SeikatsuJP,29-03-2007,Datam Polystar,Datam Polystar
Rosario to Vampire Capu 2: Koi to Yume no Rhapsodia,23-07-2009,Compile Heart,Compile Heart
Routes PE,25-01-2007,Aquaplus,Aquaplus
Rozen Maiden ~duellwalzer~,27-04-2006,Taito,Taito
Rozen Maiden ~gebetgarten~,22-03-2007,Taito,Taito
RPG Maker 3•RPG TsukuruJP,16-12-2004,Runtime,"EnterbrainJP, AgetecNA"
RPG Maker II•RPG Tsukuru 5JP,08-08-2002,Kūsou Kagaku,"EnterbrainJP, AgetecNA"
RPM Tuning,19-11-2004,Babylon Software,Wanadoo Edition
RS3: Racing Simulation Three,31-10-2003,Ubisoft Paris,Ubisoft
RTL Biathlon 2007,12-12-2006,49Games,RTL
RTL Biathlon 2009,27-11-2008,49Games,RTL
RTL Ski Jumping 2003,03--2003,RTL,THQ
RTL Ski Jumping 2004,18-11-2003,RTL,RTL
RTL Ski Jumping 2005,10-12-2004,49Games,RTL
RTL Ski Jumping 2006,06--2006,49Games,RTL
RTL Ski Jumping 2007,17-11-2006,49Games,RTL
RTL Winter Games 2007,06-12-2006,49Games,RTL
RTX Red Rock,17-06-2003,LucasArts,"LucasArtsNA, ActivisionEU"
Ruff Trigger: The Vanocore Conspiracy,28-06-2006,Playstos Entertainment,Natsume
Rugby,15-06-2001,The Creative Assembly,Electronic Arts
The Rugby•Simple 2000 Series Vol. 15: The RugbyJP,14-11-2002,Siesta,D3 Publisher
Rugby 06,10-02-2006,HB Studios,Electronic Arts
Rugby 08,17-07-2007,HB Studios,Electronic Arts
Rugby 2004,16-09-2003,HB Studios,Electronic Arts
Rugby 2005,08-03-2005,HB Studios,Electronic Arts
Rugby Challenge 2006,03-02-2006,Swordfish Studios,Ubisoft
Rugby League,09-12-2003,Sidhe Interactive,Home Entertainment Suppliers
Rugby League 2 World Cup Edition,06-11-2008,Sidhe Interactive,Home Entertainment Suppliers
Rugrats: Royal Ransom,16-11-2002,Avalanche Studios,THQ
Rule of Rose,19-01-2006,Punchline,"Sony Computer EntertainmentJP, AtlusNA, 505 Game StreetEU"
The Rumble Fish,17-03-2005,Dimps,Sega
Rumble Racing,23-04-2001,Electronic Arts,Electronic Arts
Rumble Roses,09-11-2004,Yuke's,Konami
Runabout 3 Neo Age•Simple 2000 Ultimate Series Vol. 9: Bakusou! Manhattan – Runabout 3JP,23-05-2002,Climax Entertainment,"Hearty RobinJP, BAM! EntertainmentEU, D3 PublisherJP"
Rune Princess,24-11-2005,PrincessSoft,PrincessSoft
Rune: Viking Warlord,30-07-2001,Human Head Studios,Gathering of Developers
Rurouni Kenshin: Meiji Kenkaku Romantan - Enjou! Kyoto Rinne,14-09-2006,Eighting,Banpresto
Rygar: The Legendary Adventure•Argus no SenshiJP,25-11-2002,Tecmo,"TecmoJP,NA, Wanadoo EditionEU"
Ryu-Koku,21-09-2006,KID,KID
S.L.A.I.: Steel Lancer Arena International,21-09-2005,Genki,Konami
